epoch,train_acc,test_acc,train_loss,test_loss
0,0.009566326530612245,0.00807651411741972,4.668861807609091,4.652468681335449
10,0.08120748299319729,0.0006376195233315229,4.150735689669239,5.215037822723389
20,0.4075255102040816,0.0023379384074360132,2.760420169960074,5.915079593658447
30,0.9462159863945578,0.015515408478677273,0.6362712160259688,6.667008876800537
40,1.0,0.02763018012046814,0.06617047632632612,7.1385064125061035
50,1.0,0.034218914806842804,0.027424591042253435,7.346539497375488
60,1.0,0.03506907448172569,0.016353202362855274,7.496209144592285
70,1.0,0.037194471806287766,0.01118441747159374,7.60913610458374
80,1.0,0.0382571704685688,0.008245350881701424,7.702905178070068
90,1.0,0.03910733014345169,0.006363727231541661,7.777454376220703
100,1.0,0.040170032531023026,0.005083872445662613,7.847436428070068
110,1.0,0.04123273119330406,0.00417221624873021,7.913029670715332
120,1.0,0.042507968842983246,0.003487455354509305,7.967920780181885
130,1.0,0.0422954298555851,0.0029572951116402743,8.019996643066406
140,1.0,0.04420828819274902,0.0025451046028206136,8.065771102905273
150,1.0,0.04527098685503006,0.0022109715714670568,8.109643936157227
160,1.0,0.04548352584242821,0.0019406733708139383,8.147367477416992
170,1.0,0.047183845192193985,0.0017162509687042155,8.181744575500488
180,1.0,0.04697130620479584,0.001527771927878818,8.220415115356445
190,1.0,0.04739638417959213,0.0013682652260081805,8.250591278076172
200,1.0,0.046546224504709244,0.0012306838754095695,8.285942077636719
210,1.0,0.047821465879678726,0.0011134792323585373,8.313942909240723
220,1.0,0.04824654385447502,0.0010112919622943515,8.341351509094238
230,1.0,0.04930924251675606,0.0009203972671098602,8.371820449829102
240,1.0,0.04930924251675606,0.0008420959011284115,8.39509105682373
250,1.0,0.04888416454195976,0.0007714265624859504,8.421326637268066
260,1.0,0.04888416454195976,0.0007092483776469468,8.447929382324219
270,1.0,0.0499468632042408,0.0006531251299030268,8.469511032104492
280,1.0,0.0499468632042408,0.0006033020307069176,8.492626190185547
290,1.0,0.049521785229444504,0.0005582750360734862,8.515214920043945
300,1.0,0.051009561866521835,0.0005173433483356522,8.535917282104492
310,1.0,0.05058448389172554,0.0004804177046595078,8.556646347045898
320,1.0,0.05079702287912369,0.0004465500311371649,8.577545166015625
330,1.0,0.05143464356660843,0.0004155782115135697,8.596789360046387
340,1.0,0.05122210457921028,0.00038767888742898194,8.618391036987305
350,1.0,0.05122210457921028,0.0003619960542502148,8.635947227478027
360,1.0,0.05143464356660843,0.00033840397610424125,8.654833793640137
370,1.0,0.05228480324149132,0.0003162232147637425,8.673135757446289
380,1.0,0.05143464356660843,0.0002959787255219583,8.691974639892578
390,1.0,0.05207226052880287,0.0002774482343082956,8.709842681884766
400,1.0,0.05207226052880287,0.0002600029221780243,8.727808952331543
410,1.0,0.051859721541404724,0.00024419355694819115,8.743254661560059
420,1.0,0.05228480324149132,0.00022918320996259168,8.763068199157715
430,1.0,0.05292242020368576,0.00021535740075569575,8.779149055480957
440,1.0,0.052497342228889465,0.00020246463461516133,8.794698715209961
450,1.0,0.053985122591257095,0.00019040406508558132,8.810952186584473
460,1.0,0.05377257987856865,0.00017924106917043095,8.830101013183594
470,1.0,0.05462273955345154,0.00016884238112299722,8.844585418701172
480,1.0,0.05441020056605339,0.00015896263595299834,8.858838081359863
490,1.0,0.05419766157865524,0.0001498408117458275,8.876381874084473
500,1.0,0.05462273955345154,0.0001413144805186688,8.893328666687012
510,1.0,0.05547289922833443,0.0001332414332344862,8.909685134887695
520,1.0,0.05526036024093628,0.00012576794237940616,8.925467491149902
530,1.0,0.05504782125353813,0.00011866750145334192,8.941935539245605
540,1.0,0.05462273955345154,0.00011207410305632329,8.959205627441406
550,1.0,0.05462273955345154,0.00010573073631021048,8.972888946533203
560,1.0,0.05653559789061546,9.989296407858544e-05,8.988213539123535
570,1.0,0.056323058903217316,9.42854874875859e-05,9.00296688079834
580,1.0,0.05674814060330391,8.911907855622458e-05,9.021001815795898
590,1.0,0.05738575756549835,8.426550105586331e-05,9.034492492675781
600,1.0,0.05738575756549835,7.96430886483143e-05,9.050163269042969
610,1.0,0.05738575756549835,7.525419042846441e-05,9.063494682312012
620,1.0,0.05887353792786598,7.114550349228147e-05,9.079353332519531
630,1.0,0.058660998940467834,6.731151043655997e-05,9.09520435333252
640,1.0,0.05972369760274887,6.365792163161459e-05,9.11157512664795
650,1.0,0.05951115861535072,6.02143724487784e-05,9.123621940612793
660,1.0,0.060998935252428055,5.694719972971947e-05,9.139542579650879
670,1.0,0.06078639626502991,5.391895431283937e-05,9.154892921447754
680,1.0,0.060148775577545166,5.100300691671017e-05,9.170613288879395
690,1.0,0.06057385727763176,4.8272972685945394e-05,9.184639930725098
700,1.0,0.06206163391470909,4.571514933423114e-05,9.200383186340332
710,1.0,0.061636555939912796,4.3271377360563864e-05,9.216971397399902
720,1.0,0.06142401695251465,4.097501044759533e-05,9.231425285339355
730,1.0,0.06078639626502991,3.8792490393919615e-05,9.244083404541016
740,1.0,0.060998935252428055,3.671325800317137e-05,9.256465911865234
750,1.0,0.0612114742398262,3.481761581695252e-05,9.274676322937012
760,1.0,0.06206163391470909,3.2946906803091864e-05,9.28944206237793
770,1.0,0.06206163391470909,3.119073477557854e-05,9.30248737335205
780,1.0,0.06206163391470909,2.9549508400698552e-05,9.319353103637695
790,1.0,0.06291179358959198,2.798569656908116e-05,9.331703186035156
800,1.0,0.06333687156438828,2.6513010550620587e-05,9.347548484802246
810,1.0,0.06461211293935776,2.5122629694476704e-05,9.361161231994629
820,1.0,0.06333687156438828,2.378216952999791e-05,9.378445625305176
830,1.0,0.06291179358959198,2.253080804491349e-05,9.392441749572754
840,1.0,0.06418703496456146,2.1372346716717546e-05,9.405230522155762
850,1.0,0.06439957022666931,2.024312824173989e-05,9.42164421081543
860,1.0,0.06439957022666931,1.9197231521422113e-05,9.43400764465332
870,1.0,0.06546226888895035,1.817591434707358e-05,9.44801139831543
880,1.0,0.06461211293935776,1.7219446062943485e-05,9.463059425354004
890,1.0,0.0652497336268425,1.6334794598732928e-05,9.478692054748535
900,1.0,0.06503719091415405,1.5480653823354935e-05,9.49294376373291
910,1.0,0.06588735431432724,1.4668579615627218e-05,9.507779121398926
920,1.0,0.06609988957643509,1.3899331576862852e-05,9.520727157592773
930,1.0,0.0652497336268425,1.3174203503490853e-05,9.538491249084473
940,1.0,0.0656748116016388,1.2494639097703035e-05,9.552388191223145
950,1.0,0.06631243228912354,1.1836462740544436e-05,9.569196701049805
960,1.0,0.06503719091415405,1.1210850030680736e-05,9.581915855407715
970,1.0,0.06652497500181198,1.0630547870457375e-05,9.59914779663086
980,1.0,0.06652497500181198,1.0071329826769834e-05,9.610298156738281
990,1.0,0.06631243228912354,9.547944872031862e-06,9.625792503356934
1000,1.0,0.06588735431432724,9.053094564930323e-06,9.642265319824219
1010,1.0,0.06758767366409302,8.593798831040293e-06,9.655572891235352
1020,1.0,0.06801275163888931,8.136833927898627e-06,9.668844223022461
1030,1.0,0.06907545030117035,7.728271819261096e-06,9.680227279663086
1040,1.0,0.06780020892620087,7.3148695375902185e-06,9.700139045715332
1050,1.0,0.06822528690099716,6.9370976048884014e-06,9.710562705993652
1060,1.0,0.06950052827596664,6.5771408420308335e-06,9.730255126953125
1070,1.0,0.0688629075884819,6.232211790058475e-06,9.739557266235352
1080,1.0,0.06971307098865509,5.90806315144897e-06,9.757532119750977
1090,1.0,0.06971307098865509,5.609129408915324e-06,9.772046089172363
1100,1.0,0.06950052827596664,5.3154669429971855e-06,9.787382125854492
1110,1.0,0.0692879930138588,5.040075845134779e-06,9.800172805786133
1120,1.0,0.06971307098865509,4.780548577672852e-06,9.817959785461426
1130,1.0,0.07013814896345139,4.5312593868891245e-06,9.830175399780273
1140,1.0,0.06992560625076294,4.3006473751287265e-06,9.844303131103516
1150,1.0,0.07077576965093613,4.076421429913136e-06,9.859993934631348
1160,1.0,0.07098830491304398,3.868819881589144e-06,9.87655258178711
1170,1.0,0.07056322693824768,3.6652728420845392e-06,9.88803768157959
1180,1.0,0.07056322693824768,3.476956358625313e-06,9.902445793151855
1190,1.0,0.07120084762573242,3.303338188106245e-06,9.91492748260498
1200,1.0,0.07141339033842087,3.128376803732597e-06,9.933384895324707
1210,1.0,0.07268862426280975,2.9676323528397593e-06,9.945554733276367
1220,1.0,0.0729011669754982,2.810917244986041e-06,9.961590766906738
1230,1.0,0.07226354628801346,2.6639587724807854e-06,9.975639343261719
1240,1.0,0.07268862426280975,2.5278974107448224e-06,9.99075984954834
1250,1.0,0.07353878766298294,2.398171423598122e-06,10.004884719848633
1260,1.0,0.07268862426280975,2.2768844877534823e-06,10.021848678588867
1270,1.0,0.07268862426280975,2.154507636968985e-06,10.03560733795166
1280,1.0,0.07417640835046768,2.0429266476107812e-06,10.050979614257812
1290,1.0,0.07417640835046768,1.934310477959023e-06,10.067269325256348
1300,1.0,0.07353878766298294,1.8341587481229903e-06,10.080777168273926
1310,1.0,0.07481402903795242,1.7374534788551396e-06,10.097198486328125
1320,1.0,0.07438894361257553,1.6498965940590263e-06,10.111713409423828
1330,1.0,0.07481402903795242,1.5616301881619328e-06,10.124706268310547
1340,1.0,0.07523910701274872,1.48028223808366e-06,10.139326095581055
1350,1.0,0.07545164227485657,1.403140883518731e-06,10.155753135681152
1360,1.0,0.07630180567502975,1.3283565038079427e-06,10.171464920043945
1370,1.0,0.07545164227485657,1.2596540914985155e-06,10.18522834777832
1380,1.0,0.07438894361257553,1.1944743331399395e-06,10.199268341064453
1390,1.0,0.07502656430006027,1.1321581219434149e-06,10.215560913085938
1400,1.0,0.0765143409371376,1.0724268130164456e-06,10.227469444274902
1410,1.0,0.07587672770023346,1.0184736236958403e-06,10.241530418395996
1420,1.0,0.07630180567502975,9.645963098987863e-07,10.258867263793945
1430,1.0,0.07608926296234131,9.143175762325146e-07,10.274068832397461
1440,1.0,0.07587672770023346,8.645457686954342e-07,10.290175437927246
1450,1.0,0.07587672770023346,8.176628658988762e-07,10.306921005249023
1460,1.0,0.07736450433731079,7.738717988481736e-07,10.320075035095215
1470,1.0,0.07736450433731079,7.319052748417085e-07,10.33604907989502
1480,1.0,0.07778958231210709,6.930811609829082e-07,10.354455947875977
1490,1.0,0.07757704704999924,6.567152751881467e-07,10.362520217895508
1500,1.0,0.07842720299959183,6.213630885225581e-07,10.378972053527832
1510,1.0,0.07821466028690338,5.882916477529681e-07,10.39762020111084
